main_cat_top,mean_rating,mean_reviews,count
Продукты питания,4.593399769751043,58.367390991509566,13898
Хобби и творчество,4.58677377008189,21.510783271863474,15997
"Одежда, обувь и аксессуары",4.557349862599191,11.037175409886682,97161
Other,4.539554399027503,53.59398267740465,52648
Строительство и ремонт,4.538995794663573,9.798941415313225,13792
Детские товары,4.508660583530472,60.61135518756337,26631
Аптека,4.502669541004222,81.96981945567232,11133
Красота и здоровье,4.494161840959842,62.35960031792892,26421
Дом и сад,4.446040623304133,20.640313202573843,64495
Спортивные товары,4.440390992167101,15.744973890339425,15320
Электроника,4.238021679148601,26.862475364603863,25370
